Total tokens with passing features: 3145
Total passing features: 5349

Token                | #Features | Feature IDs
one                  |        10 | 37, 9521, 9755, 9978, 19834, 46039, 46556, 58376, 59490, 61570
id                   |        10 | 551, 1418, 4482, 8115, 11005, 35118, 42169, 49939, 53107, 64312
d                    |        10 | 1204, 14031, 18819, 19193, 29483, 31422, 49080, 49727, 53556, 59116
aligned              |        10 | 2852, 3473, 3671, 9287, 13058, 21969, 22614, 38829, 53436, 60803
out                  |        10 | 3567, 15810, 20694, 27175, 36778, 39920, 54306, 59202, 60700, 63144
be                   |        10 | 6048, 10554, 13523, 14503, 25629, 26393, 32576, 37322, 62577, 62825
which                |        10 | 12545, 22961, 25635, 29533, 30018, 31383, 53621, 59157, 60346, 64192
than                 |         9 | 1898, 12376, 19249, 21269, 21463, 21833, 33055, 37786, 64734
x                    |         9 | 2036, 21386, 23445, 33484, 37010, 47244, 52492, 54906, 59029
else                 |         9 | 3769, 12974, 21009, 27504, 36321, 44872, 53373, 55625, 58889
autorest             |         9 | 4326, 5056, 7870, 10179, 11464, 18966, 19416, 22544, 57136
then                 |         9 | 6243, 7171, 14366, 23897, 31832, 39156, 40717, 41761, 51851
first                |         9 | 6305, 8594, 31409, 35147, 35641, 38717, 48415, 52778, 59704
have                 |         9 | 9105, 9980, 13310, 20339, 37703, 47264, 50648, 62043, 62646
string               |         9 | 14520, 40485, 48881, 52751, 53604, 56904, 57628, 61038, 64501
static               |         9 | 22114, 22908, 32297, 32562, 38168, 44251, 55125, 58064, 65131
import               |         8 | 2369, 7541, 16647, 21799, 41471, 41770, 57078, 57107
what                 |         8 | 4493, 4744, 5510, 15625, 24885, 36908, 47348, 50683
p                    |         8 | 6736, 13991, 14343, 14890, 29472, 54650, 54990, 63884
other                |         8 | 7615, 22264, 22410, 44518, 53459, 55059, 61547, 64503
do                   |         8 | 8846, 18403, 23643, 24837, 28137, 33681, 49897, 55173
only                 |         8 | 9486, 17748, 22405, 27809, 37538, 38790, 38810, 61919
function             |         8 | 21887, 33375, 39576, 41391, 43701, 49751, 52129, 52283
see                  |         7 | 431, 9678, 24668, 33135, 38424, 47507, 61059
type                 |         7 | 817, 13695, 16372, 51832, 52762, 55017, 61652
can                  |         7 | 1443, 29598, 35670, 41095, 48409, 51871, 64956
over                 |         7 | 2912, 2957, 11651, 25786, 32667, 37443, 46022
now                  |         7 | 3170, 11791, 15740, 35395, 41897, 49760, 64021
m                    |         7 | 3605, 4230, 13802, 14937, 29319, 41281, 42727
about                |         7 | 5260, 23741, 35814, 45360, 46703, 48767, 55987
right                |         7 | 9137, 14561, 35269, 36588, 38200, 38642, 58567
http                 |         7 | 10631, 38053, 43138, 45059, 46836, 51884, 65027
true                 |         7 | 18116, 19435, 28653, 29948, 44993, 46579, 59933
just                 |         7 | 21721, 25191, 36971, 39580, 51742, 54872, 56326
private              |         6 | 569, 7735, 19415, 56308, 56840, 63179
even                 |         6 | 606, 9310, 25458, 28690, 41626, 48285
where                |         6 | 2041, 2858, 7723, 23435, 30588, 62080
such                 |         6 | 2364, 13796, 14194, 32812, 55616, 63932
case                 |         6 | 3478, 9111, 27707, 27876, 33172, 62202
al                   |         6 | 4409, 20853, 23767, 26756, 37689, 59294
journal              |         6 | 5928, 14599, 21477, 24550, 32450, 36063
here                 |         6 | 6292, 21537, 23711, 29980, 61841, 63433
no                   |         6 | 7820, 23185, 45502, 54603, 58375, 61523
we                   |         6 | 8364, 19285, 43229, 43372, 61959, 65301
before               |         6 | 10115, 17981, 36654, 42605, 43215, 64959
void                 |         6 | 12158, 19650, 33874, 44438, 51359, 65377
e                    |         6 | 14683, 23732, 39759, 42777, 45069, 58668
label                |         6 | 18723, 26820, 28574, 29516, 34870, 54064
int                  |         6 | 33302, 50533, 50885, 53890, 59917, 64029
any                  |         6 | 38854, 44076, 47510, 53147, 56973, 65467
text                 |         5 | 287, 1489, 11303, 31716, 56756
include              |         5 | 717, 5697, 37885, 53982, 63669
way                  |         5 | 1279, 9778, 28879, 30684, 32587
per                  |         5 | 1998, 22586, 31685, 49365, 53187
through              |         5 | 2268, 2429, 7363, 44724, 64652
value                |         5 | 2435, 7804, 20967, 46924, 57806
after                |         5 | 3066, 5005, 7544, 53379, 63018
final                |         5 | 3497, 17222, 35646, 39613, 57298
n                    |         5 | 3602, 4334, 19202, 29813, 42532
width                |         5 | 6480, 11972, 12190, 40988, 51859
same                 |         5 | 6792, 7204, 22816, 38653, 51682
li                   |         5 | 7948, 24915, 37947, 38688, 41412
use                  |         5 | 8356, 14456, 25409, 34901, 53692
who                  |         5 | 9060, 13373, 20266, 36359, 63320
version              |         5 | 12293, 14206, 24868, 35723, 49173
protobuf             |         5 | 12601, 13031, 27268, 39125, 60136
self                 |         5 | 13213, 27843, 38689, 44355, 61071
each                 |         5 | 14574, 24276, 44198, 46210, 56090
well                 |         5 | 14668, 17952, 28437, 40770, 63321
var                  |         5 | 17580, 45004, 48805, 52007, 62513
know                 |         5 | 20216, 21883, 49086, 49936, 53686
name                 |         5 | 21370, 26803, 33179, 50086, 53634
div                  |         5 | 21613, 23131, 29203, 41506, 53309
en                   |         5 | 27495, 27800, 46782, 53238, 53949
found                |         4 | 69, 16899, 27259, 64771
com                  |         4 | 466, 18494, 39471, 59242
our                  |         4 | 1396, 24373, 27520, 60051
param                |         4 | 1827, 15038, 45130, 50920
room                 |         4 | 2471, 20515, 27927, 28213
while                |         4 | 2492, 41846, 59141, 64254
into                 |         4 | 3882, 24830, 36823, 52680
null                 |         4 | 4174, 16135, 54011, 57344
my                   |         4 | 4305, 46437, 58569, 59582
sure                 |         4 | 4903, 35822, 44500, 46903
color                |         4 | 5343, 10364, 51262, 62166
little               |         4 | 7013, 21783, 21928, 27592
help                 |         4 | 7218, 30494, 56992, 59184
there                |         4 | 8261, 37201, 54464, 61541
think                |         4 | 12005, 32564, 56245, 61262
us                   |         4 | 12051, 40586, 42622, 48531
possible             |         4 | 12864, 22220, 50618, 53393
need                 |         4 | 12891, 33460, 55724, 55977
since                |         4 | 13807, 16938, 20705, 51791
www                  |         4 | 14005, 22021, 45031, 64777
home                 |         4 | 14718, 33169, 43651, 45358
context              |         4 | 16497, 27832, 50608, 59533
c                    |         4 | 16566, 17614, 27054, 38354
set                  |         4 | 17326, 20286, 26999, 28427
v                    |         4 | 18006, 37698, 42999, 53019
list                 |         4 | 18700, 26430, 32287, 65228
number               |         4 | 18853, 28719, 47540, 61733
will                 |         4 | 24027, 38730, 47800, 60089
when                 |         4 | 26835, 49804, 64016, 64514
some                 |         4 | 27713, 31292, 41714, 44457
being                |         4 | 28863, 32263, 36065, 43136
part                 |         4 | 31163, 58926, 61445, 62004
state                |         4 | 35490, 47335, 47460, 64135
between              |         4 | 36693, 43412, 53155, 58423
left                 |         4 | 36955, 38708, 41536, 51461
much                 |         4 | 42636, 43031, 47658, 53177
two                  |         3 | 282, 6257, 12704
most                 |         3 | 411, 9319, 33883
r                    |         3 | 581, 24586, 52167
href                 |         3 | 642, 5800, 13779
let                  |         3 | 1129, 36746, 45920
make                 |         3 | 1314, 27358, 46373
party                |         3 | 1440, 20608, 48235
later                |         3 | 1494, 2548, 49655
top                  |         3 | 1699, 10997, 20689
times                |         3 | 1996, 19366, 30427
called               |         3 | 2037, 32694, 40807
result               |         3 | 2246, 37108, 62379
find                 |         3 | 2355, 37793, 48647
are                  |         3 | 2585, 17047, 44483
height               |         3 | 2645, 5432, 43706
add                  |         3 | 3167, 56405, 59375
still                |         3 | 3771, 23432, 51710
prime                |         3 | 4478, 25379, 36204
fig                  |         3 | 5064, 7607, 13077
vector               |         3 | 5075, 7511, 18127
has                  |         3 | 5256, 33755, 47033
old                  |         3 | 5564, 31895, 47665
git                  |         3 | 6053, 22572, 58169
year                 |         3 | 6127, 15228, 16186
re                   |         3 | 6189, 31139, 43300
err                  |         3 | 6443, 7092, 26754
content              |         3 | 6865, 24686, 51982
h                    |         3 | 7491, 30875, 49462
api                  |         3 | 7811, 15385, 56184
body                 |         3 | 8011, 58219, 63549
u                    |         3 | 8114, 11033, 52936
sp                   |         3 | 8337, 10420, 30850
her                  |         3 | 8998, 30770, 49432
something            |         3 | 9026, 15888, 59681
ern                  |         3 | 9252, 13493, 44211
ch                   |         3 | 9701, 12917, 18210
though               |         3 | 10031, 42744, 49861
none                 |         3 | 10162, 26566, 34240
script               |         3 | 10184, 13804, 21975
term                 |         3 | 10318, 33662, 58168
following            |         3 | 10928, 23284, 38712
data                 |         3 | 11483, 27433, 64742
package              |         3 | 11534, 23274, 40789
group                |         3 | 11744, 19055, 21709
exception            |         3 | 11890, 17958, 18982
style                |         3 | 11898, 24554, 35073
